DCC0187,"['D06AA02', 'J01AA03', 'D06AA03', 'G01AA07', 'J01AA06', 'S01AA04', 'A01AB13', 'D06AA04', 'J01AA07', 'S01AA09', 'S02AA08', 'S03AA02', 'A01AB21', 'S01AA02', 'J01AA09']"
DCC0188,['J01DH02']
DCC0189,['L01XX19']
DCC0191,['L01CB01']
DCC0192,['N03AF02']
DCC0193,"['A07AA05', 'J01XB02', 'S01AA18', 'S02AA11', 'S03AA03']"
DCC0194,"['G03CA01', 'G03CA03', 'L02AA02', 'L02AA03']"
DCC0252,['G03CA01']
DCC1823,['G03CA03']
DCC0195,"['D06BB03', 'J05AB01', 'S01AD03', 'J05AB11']"
DCC0196,"['G02CC02', 'M01AE02', 'M02AA12']"
DCC0197,['C09AA04']
DCC0198,['C09CA06']
DCC0199,"['D06AX07', 'J01GB03', 'S01AA11', 'S02AA14', 'S03AA06']"
DCC0200,"['J01XB01', 'A07AA10']"
DCC0201,['C03BA11']
DCC0202,['S01FA06']
DCC0203,['J05AB04']
DCC0204,"['N01AH01', 'N02AB03']"
DCC0206,['N01AX10']
DCC0209,"['N05BA01', 'N05BA17']"
DCC0210,"['R06AB01', 'R06AB06']"
DCC0211,"['A07DA03', 'A07DA05']"
DCC0212,['J04BA01']
DCC0213,['N05AB03']
DCC0214,['R01BA02']
DCC0215,['L01AX03']
DCC0216,"['A07EA01', 'C05AA04', 'D07AA01', 'D07AA03', 'D07AC14', 'D07XA02', 'D10AA02', 'H02AB04', 'H02AB06', 'R01AD02', 'S01BA04', 'S01CB02', 'S02BA03', 'S03BA02', 'H02AB07']"
DCC1454,"['D07AA01', 'D07AC14', 'D10AA02', 'H02AB04']"
DCC0217,"['A02BA02', 'A02BA07']"
DCC0338,"['A02BA07', 'A02BX05', 'A02BX12']"
DCC0218,"['D11AH01', 'L04AD02']"
DCC0219,['S01EC03']
DCC0220,['S01BA14']
DCC0221,['R05CA03']
DCC0222,['C09CA02']
DCC0223,['L04AA10']
DCC0224,"['A01AB03', 'B05CA02', 'D08AC02', 'D09AA12', 'R02AA05', 'S01AX09', 'S02AA09', 'S03AA04', 'D08AE02']"
DCC0225,['J05AF09']
DCC0226,['C09AA06']
DCC0227,"['C01DA08', 'D03AX08']"
DCC0228,['J05AF02']
DCC0229,['R06AD04']
DCC0230,['S01EE03']
