DCC_ID,Node2Vec
DCC0260,"['0.06551849', '0.17714044', '-0.042377215', '0.34863487', '-0.089977786', '0.087655716', '-0.100679114', '-0.011728965', '0.19553357', '0.030212425', '-0.05678415', '-0.08945969', '-0.17694852', '0.27288318', '-0.15679762', '-0.23649943', '0.27614018', '-0.37704322', '0.09212627', '-0.5045809', '0.09014041', '0.20907596', '-0.11739721', '-0.44348305', '0.16442163', '0.6464823', '-0.17712827', '-0.08919934', '0.09211784', '0.3450869', '0.14669757', '0.055382114', '-0.14220418', '0.22095932', '0.2754862', '-0.17265582', '0.023091735', '0.13620679', '-0.030646868', '0.40186548', '-0.34399006', '0.25266483', '0.13104667', '-0.06951483', '-0.00034178246', '-0.36730582', '-0.85187966', '0.0751949', '0.13252738', '0.3178301', '0.19218649', '-0.17083153', '-0.045697045', '-0.033023037', '0.14029866', '0.020474', '-0.38484624', '-0.04919165', '0.41259995', '0.17053556', '-0.035538323', '0.12874714', '0.29799572', '-0.10682418', '-0.12974425', '-0.025613772', '0.1196207', '-0.23149177', '-0.32788008', '-0.46018055', '0.06427159', '-0.11378903', '-0.0011061442', '-0.24424267', '0.26360843', '-0.38972697', '-0.0035514142', '-0.46426013', '-0.5746094', '-0.13820639', '-0.4715823', '0.3376363', '-0.020704737', '0.07025785', '-0.19493558', '0.10290312', '-0.007163491', '0.009653316', '-0.20390627', '-0.4824948', '0.06138316', '-0.07157747', '-0.1555723', '0.31950516', '0.50364244', '0.6383367', '0.089705884', '0.2382989', '-0.3106477', '-0.09543446', '-0.2121968', '-0.13721584', '0.4449985', '0.8033599', '0.9120492', '-0.23025034', '-0.006782437', '0.4530733', '0.09744772', '0.28182718', '0.37506932', '-0.07543678', '-0.68202543', '0.02978352', '-0.2868534', '-0.25726348', '0.3841148', '0.071177945', '-0.4365991', '-0.2966484', '0.31566522', '-0.35746142', '-0.002250626', '-0.24111862', '0.47515073', '0.0037987866', '-0.31118476', '-0.5169286']"
DCC0325,"['0.054866705', '-0.18556294', '0.049432818', '0.22205865', '-0.0678981', '0.11985896', '0.17101042', '-0.62538475', '0.0076011913', '0.13254721', '0.14867732', '-0.06748738', '0.00702032', '-0.0006104685', '-0.058830604', '-0.06256298', '0.185461', '0.28709477', '-0.25750315', '0.022934468', '-0.059140008', '0.121969685', '-0.20917007', '0.08631893', '-0.20944764', '0.044537503', '0.19670685', '0.16685764', '-0.26645175', '-0.15670207', '0.13615601', '0.117476545', '-0.20790893', '-0.13776848', '0.013897268', '0.17772439', '-0.0061725527', '-0.070400305', '-0.017945932', '0.18880421', '-0.048381653', '-0.13643135', '-0.3015254', '0.16322963', '-0.027539887', '-0.043721694', '-0.37643975', '0.30238864', '-0.03435478', '0.29952803', '0.3160838', '0.08632459', '-0.22392888', '0.056093168', '-0.28118885', '0.054090578', '0.17432651', '-0.37425613', '-0.24124178', '-0.03865103', '0.011197261', '0.22079076', '-0.015975002', '-0.011950177', '0.02851033', '-0.17543118', '0.32210568', '0.17116077', '-0.13161694', '-0.49452925', '-0.06756555', '0.008752351', '-0.073819935', '0.020576993', '-0.08993442', '-0.022160834', '0.06846643', '-0.006426011', '-0.13422535', '0.2891816', '-0.3557229', '-0.15075518', '0.21169025', '0.12194612', '-0.002474555', '0.5084208', '-0.15135162', '-0.10003678', '0.02261782', '-0.24445821', '0.26155695', '-0.032268632', '0.06416234', '0.24022403', '0.6513308', '0.054473836', '-0.3844696', '-0.033716075', '-0.011434094', '0.4888804', '-0.061273545', '0.16962975', '-0.51464516', '0.19396855', '-0.043484576', '0.1091728', '0.03962192', '0.13781922', '0.20893411', '-0.09664097', '0.40518418', '-0.45459273', '-0.13183059', '0.06980854', '-0.19663681', '-0.17280506', '0.123681456', '-0.0031890944', '0.0042868005', '0.0144489305', '0.06534813', '-0.105344675', '-0.09578689', '0.01677892', '-0.40193346', '0.14453109', '-0.16870163', '0.31441265']"
DCC0117,"['0.0036504075', '-0.34347525', '-0.113338575', '0.22414309', '0.21748252', '0.11521733', '0.066850804', '-0.29418358', '-0.015992116', '0.51016784', '0.3114161', '0.14060433', '0.16140202', '0.011520519', '-0.04762773', '-0.12486771', '-0.065236926', '0.3552511', '-0.58320177', '0.18517734', '0.17658225', '-0.034149107', '-0.27564663', '-0.19121966', '0.0025352957', '-0.09368007', '-0.21263608', '-0.040347744', '-0.1835614', '-0.24984401', '-0.00399235', '-0.1321', '-0.041106943', '0.05188399', '-0.17511152', '-0.12888718', '0.05870019', '-0.18304749', '0.11226286', '0.25375417', '-0.012065831', '0.1655193', '0.06135078', '-0.41508096', '-0.27010295', '0.16439559', '-0.43153584', '0.10255532', '0.06366348', '0.42683867', '0.3410365', '-0.27025917', '0.07475313', '0.19212425', '-0.23897824', '0.0845752', '0.1224678', '-0.115047574', '0.12461188', '0.1532599', '0.053426087', '0.14311242', '0.06505373', '-0.053408757', '0.2252611', '0.22333348', '0.18567796', '-0.09464804', '-0.07424725', '-0.14266613', '0.21405278', '0.17022967', '-0.05558725', '-0.045381077', '0.03330925', '-0.3456544', '-0.46773776', '-0.3102336', '-0.06548219', '0.48316795', '-0.3580447', '-0.2462087', '0.047006328', '0.2538464', '-0.045866676', '0.36658052', '0.019895239', '-0.043312512', '0.23261592', '-0.01189912', '-0.16404475', '0.10680089', '-0.007706565', '0.30621573', '0.68242973', '0.32402822', '-0.09771656', '0.12199929', '-0.05910662', '0.17922638', '0.17066194', '0.25733265', '-0.35633454', '-0.041196384', '0.08981858', '0.09391456', '-0.025262622', '0.4982484', '0.32431233', '0.05609298', '0.08793356', '-0.07145388', '-0.0067256405', '0.12623066', '-0.0065512047', '-0.3739987', '-0.12191489', '-0.21299838', '0.1471061', '-0.2338868', '0.17331539', '-0.013349159', '-0.15187055', '0.26257464', '-0.17178155', '0.07510544', '-0.4483452', '0.21568815']"
DCC0123,"['0.036211863', '-0.2452228', '-0.08699786', '0.18718563', '0.055559423', '0.093001105', '0.31906277', '-0.32631633', '0.0047950465', '0.25237158', '0.32861757', '0.030524766', '-0.013587484', '0.0062333546', '0.10057763', '0.32149807', '-0.23502223', '0.12820962', '-0.5030972', '0.29613814', '0.115688615', '-0.06087475', '-0.37547034', '-0.17654334', '-0.41170686', '-0.24915814', '-0.3683194', '-0.02237787', '-0.10998114', '-0.22393486', '0.0064544613', '-0.22714578', '0.041353807', '-0.07854128', '-0.03576851', '-0.06547151', '0.0427404', '0.19391103', '0.029434782', '0.0581008', '-0.34436274', '0.37575996', '0.039117128', '-0.21596982', '0.114654325', '-0.1545127', '0.05046824', '0.21100923', '0.060686998', '-0.04269264', '0.2826042', '-0.20951588', '0.15527748', '0.24936926', '-0.280122', '0.047707796', '0.075382106', '-0.074288405', '-0.32733342', '-0.08584772', '-0.031378835', '0.11728937', '0.26750535', '-0.09371351', '0.15582055', '-0.27430418', '0.1395782', '-0.2410481', '-0.038953867', '-0.36319607', '0.059348486', '0.09765922', '-0.032174297', '-0.26613173', '0.30496672', '-0.032227583', '-0.07386701', '-0.20166469', '-0.26535276', '0.08425235', '-0.45134473', '0.057338525', '0.17871937', '0.14212903', '-0.15488304', '0.30714646', '0.18220037', '-0.008806817', '0.045216415', '0.2569657', '0.14330007', '0.14906609', '-0.092243955', '0.30932269', '0.6122904', '0.19903697', '-0.057513133', '-0.06934215', '-0.19677222', '0.042674087', '0.09553201', '0.016871', '-0.2809589', '-0.214684', '0.14899392', '0.24994713', '0.026871663', '0.24175228', '0.2606689', '-0.004904011', '0.22676648', '-0.19471306', '-0.070828766', '0.23120067', '-0.03357637', '-0.15459222', '-0.16601378', '-0.15173103', '0.0043637305', '-0.00035808326', '0.07185762', '-0.07434829', '-0.114505306', '-0.2601383', '0.021918235', '-0.058364093', '-0.18414238', '0.13729836']"
DCC0259,"['-0.2845838', '-0.24066697', '0.063938305', '-0.088362254', '-0.14270654', '0.0021519132', '0.37438527', '-0.06446258', '0.10368585', '0.58536386', '0.08970741', '0.24405508', '0.022703882', '0.12110166', '0.031858303', '0.028819289', '-0.049331404', '0.010689528', '-0.21513596', '0.40082943', '0.006044425', '-0.07907993', '-0.16922463', '-0.11000758', '-0.18539755', '-0.20363572', '-0.06556047', '0.11677048', '0.117010415', '-0.34428525', '-0.2669191', '0.06674415', '0.07320775', '0.018284013', '0.035437383', '0.08864814', '0.017556053', '-0.09082249', '0.045134477', '-0.038723923', '-0.16302043', '0.24382372', '-0.42837766', '-0.105889626', '-0.02211973', '-0.063763015', '-0.33808', '-0.042201478', '-0.07916333', '0.21402356', '0.23441522', '-0.17314036', '-0.027479', '0.16418344', '-0.029375223', '0.07798049', '0.09641483', '-0.11409707', '-0.3341157', '0.306428', '0.062420562', '0.37401533', '-0.0042455746', '0.060811453', '-0.050646596', '-0.06445123', '0.3375449', '-0.35127342', '0.22732426', '-0.33352643', '-0.039970625', '-0.09877429', '-0.27036932', '-0.28519937', '0.2933159', '-0.18868503', '-0.12637931', '-0.35790765', '-0.15954381', '0.32781655', '-0.12346063', '-0.2720105', '0.121825226', '0.23478924', '-0.060670804', '0.32090223', '-0.13302675', '-0.20038038', '0.16585338', '0.063152626', '-0.14865376', '0.16929369', '0.07863996', '0.18872225', '0.49421972', '0.4545697', '0.16542275', '0.21313275', '-0.08458237', '-0.119390264', '-0.020785548', '0.4801049', '-0.37470198', '-0.099736184', '0.28636947', '0.08347818', '0.30142376', '0.34728724', '0.16678198', '0.0784219', '0.5004585', '-0.13171303', '-0.060296413', '0.010096896', '-0.0026520093', '-0.12990847', '0.059804633', '-0.3658755', '-0.1734759', '0.018680044', '0.040268365', '-0.2233267', '-0.0037902787', '0.009750031', '-0.12151871', '-0.105296455', '-0.259488', '0.17360754']"
DCC0240,"['0.10699549', '-0.06356874', '0.3166585', '0.34787434', '-0.113107555', '-0.15220913', '0.009132802', '-0.4899188', '0.05835063', '-0.20267837', '0.007551882', '-0.03177098', '0.04780058', '0.6374971', '-0.14030845', '-0.14645955', '-0.16075297', '-0.36519828', '-0.2676415', '0.09985228', '0.22240335', '0.2472172', '-0.19204308', '-0.09098503', '0.3750243', '0.22030836', '-0.20203662', '0.10581696', '-0.19323023', '-0.05831813', '-0.1795459', '0.09834646', '0.13117431', '0.075030066', '0.37781146', '0.16130044', '-0.056571774', '0.09971849', '-0.3503009', '-0.0061113695', '-0.22274917', '-0.0020017612', '-0.3319804', '0.13121748', '-0.18990156', '-0.10635723', '-0.1444248', '0.09889933', '0.13488297', '0.30521864', '-0.08757776', '0.23193334', '-0.4328716', '-0.3593017', '-0.089926526', '-0.16237949', '-0.059937462', '0.040167794', '-0.09556581', '0.11285167', '0.2876086', '0.18354973', '0.05236651', '0.012701108', '0.286952', '-0.090423584', '-0.0865289', '-0.35964346', '0.076401696', '-0.20798285', '-0.0056749936', '-0.13615128', '-0.19676863', '-0.3107439', '0.064549856', '-0.13545913', '0.083062574', '-0.012337609', '-0.1966129', '0.090329334', '-0.68232876', '0.025981527', '-0.24372423', '0.04014238', '0.09684371', '0.13239491', '-0.043835', '-0.10846244', '-0.11676901', '-0.6056796', '0.041043192', '0.05053865', '0.15112075', '-0.061251163', '0.22225946', '0.21487333', '0.21072762', '0.06396809', '-0.22789754', '0.13780317', '0.03858692', '-0.037337314', '-0.2660964', '0.48126623', '0.1911352', '0.26870292', '-0.18630418', '0.28767368', '0.15133703', '0.0065813106', '0.12206248', '-0.19585611', '-0.02606376', '-0.056738347', '-0.3997724', '-0.12055268', '0.005732257', '0.05795903', '-0.07325563', '0.31457332', '0.05312884', '0.12552357', '-0.060518265', '-0.081833474', '0.0069844923', '0.4449067', '-0.11364728', '0.3391908']"
DCC0323,"['-0.29605874', '-0.28113142', '0.056638837', '0.15602842', '0.08121794', '0.13338597', '-0.1755823', '-0.17361172', '0.3813383', '0.405476', '0.10086242', '0.0522533', '0.06549617', '0.12051241', '-0.058199238', '-0.13035777', '-0.06794355', '0.0016683259', '-0.42683247', '0.19471227', '0.08370445', '0.102113925', '-0.059224043', '-0.10278329', '-0.32937375', '0.18081178', '-0.29117194', '0.2519371', '-0.16776595', '-0.4075807', '-0.03845425', '-0.12922177', '0.028345065', '0.2564849', '-0.265132', '-0.014522023', '-0.08368586', '0.10392088', '0.14031097', '-0.18671949', '-0.2737655', '0.19246845', '-0.20995027', '-0.06333335', '-0.18327397', '-0.20698056', '-0.34017044', '-0.018769994', '-0.09531811', '0.27378908', '0.13875356', '0.15524358', '-0.22820355', '0.37176594', '-0.1792341', '-0.104641475', '-0.18944411', '-0.30009338', '-0.06373917', '0.17072229', '-0.042700473', '0.22931464', '0.24014579', '-0.017975837', '0.11261036', '0.26559502', '0.44655755', '-0.21058275', '-0.0034320652', '-0.16323824', '0.0972167', '-0.2566545', '0.024704486', '-0.03846771', '0.31728986', '-0.45823365', '-0.3282359', '-0.34965095', '0.041349083', '0.17027324', '-0.44712415', '0.06798167', '0.016136494', '-0.26424006', '0.10155852', '0.59149486', '-0.1476639', '-0.17380306', '0.048445087', '0.3122281', '-0.08743414', '0.257407', '0.122977704', '0.32662326', '0.75367814', '0.40861076', '-0.078142725', '0.28742796', '-0.44562212', '0.20388947', '0.3262702', '0.18058495', '-0.20899893', '-0.17783286', '0.26436543', '0.30211398', '0.15579598', '0.1551345', '-0.14712633', '0.06606964', '0.12105114', '-0.28419167', '-0.08687608', '-0.056159627', '0.07804572', '-0.005034428', '-0.08973918', '-0.18393376', '0.22248998', '0.28312898', '0.33707222', '-0.2254522', '-0.14980848', '0.26398954', '0.11069865', '-0.48068646', '-0.45215744', '0.14720389']"
DCC0057,"['-0.25061774', '-0.24520446', '0.31835353', '0.037215706', '-0.38091367', '-0.03232895', '0.24281168', '-0.00777873', '0.27482173', '0.13191131', '-0.3055761', '0.09075671', '-0.28564474', '-0.19368958', '-0.16498154', '0.29906055', '-0.017067468', '-0.04534388', '-0.047708176', '-0.32303953', '-0.16627368', '-0.09855985', '-0.34163094', '-0.50446874', '-0.05601804', '0.2065751', '-0.22928643', '0.16846544', '0.14994302', '-0.19155708', '-0.10784585', '0.024764752', '0.16378218', '-0.20235297', '0.37386888', '-0.008570906', '-0.16747497', '-0.09397586', '-0.10429597', '-0.07836835', '0.09015252', '0.088590465', '-0.0030981265', '-0.07059851', '-0.422366', '0.09543472', '-0.20852745', '-0.13878688', '-0.052821133', '0.35050353', '0.3701615', '-0.46465197', '0.09066204', '-0.05463672', '0.121172935', '0.2493075', '0.20588163', '-0.008943204', '0.31599775', '-0.14863008', '0.073832266', '0.36493266', '0.33911422', '-0.037545275', '0.088802874', '-0.0926464', '0.046122137', '0.077577055', '-0.06354073', '-0.346593', '-0.39502475', '-0.08553737', '-0.04779358', '-0.36419886', '-0.19196747', '-0.13983774', '-0.5039301', '-0.46512505', '-0.014073168', '0.33242133', '-0.23100041', '0.12262301', '0.09720192', '0.46770775', '0.3101557', '0.38479102', '-0.035136458', '-0.019885657', '-0.009601782', '-0.58377236', '-0.16442569', '-0.13919581', '-0.20698924', '0.4074701', '0.3097228', '0.8025856', '0.11382883', '0.6922989', '-0.09081349', '-0.07715056', '0.22116573', '0.123720266', '0.11426465', '0.254002', '0.63355935', '0.23508807', '-0.00041965762', '0.16776314', '0.013277676', '-0.02646763', '0.0871474', '-0.27849394', '-0.23694362', '-0.10587258', '-0.0059200837', '-0.38692412', '0.12172749', '-0.17909475', '0.098432496', '-0.27261937', '-0.025514584', '-0.5497728', '-0.37273094', '-0.17754787', '0.2687237', '-0.02769291', '-0.04055312', '-0.055979997']"
DCC0156,"['-0.04591352', '-0.097757444', '-0.087005004', '0.086590946', '0.30108264', '0.2065926', '0.2278362', '-0.2166244', '0.10572845', '0.14200082', '0.16874655', '-0.06329112', '0.19128768', '-0.17913501', '0.11344704', '0.008913659', '-0.022683708', '0.13560821', '-0.23082393', '0.24132973', '-0.04879469', '-0.09196842', '-0.31358927', '-0.44289893', '-0.17754935', '0.25909883', '-0.15846896', '0.054537844', '-0.31307533', '-0.15577306', '-0.0066034896', '0.07997585', '0.14152852', '-0.17110169', '-0.18127018', '0.18288802', '-0.047859494', '-0.051830493', '-0.2393198', '0.04329496', '-0.1504829', '0.17996772', '-0.51608235', '-0.09553217', '0.12975185', '-0.13122043', '-0.28714862', '0.020757124', '0.08221952', '-0.074386306', '0.19147298', '-0.12849386', '-0.20586291', '0.08706066', '-0.36312795', '0.053159', '0.11341765', '-0.1224287', '-0.06126245', '0.033419102', '-0.04825363', '0.3940619', '0.022164734', '-0.2679355', '0.47836038', '-0.35985819', '0.14641951', '-0.3491289', '0.0058385283', '-0.42278987', '-0.13330911', '0.07999932', '-0.23300299', '-0.2792608', '0.26686233', '0.05574044', '-0.030898334', '0.08886257', '-0.140194', '0.042713217', '-0.43254757', '-0.28930795', '0.16116382', '0.36721376', '0.18224944', '0.46065548', '0.12584172', '-0.13342926', '0.115340665', '-0.07556722', '-0.079052694', '-0.11417848', '0.041094728', '-0.1976459', '0.55680954', '-0.019366525', '0.0120427', '-0.30911028', '-0.21709582', '-0.36067978', '-0.2592458', '0.18893643', '-0.252587', '0.09387961', '0.18530472', '-0.07082569', '0.08239952', '0.2236226', '0.28601468', '0.093630865', '0.010725763', '-0.20282738', '0.15425451', '0.26007798', '-0.011292743', '0.0027800333', '0.05471146', '-0.12892602', '-0.16438045', '0.10522509', '0.3482498', '-0.18945749', '0.048721127', '-0.10179723', '0.105803706', '-0.018793086', '-0.021228977', '0.4470496']"
DCC0329,"['0.0029347094', '-0.0736995', '0.022983283', '0.08781377', '0.21106339', '0.11148125', '0.13151252', '-0.12709832', '-0.009086363', '0.32873097', '-0.041589513', '0.08133306', '-0.060364246', '0.056134477', '-0.05700775', '-0.10801865', '-0.19076577', '0.3894509', '-0.11574332', '0.3946513', '0.14341442', '0.1217324', '-0.2893702', '-0.012492005', '-0.29759848', '-0.04796539', '-0.14731729', '0.015383109', '-0.21496028', '-0.2545951', '-0.11213901', '0.16428182', '0.07765755', '0.037374657', '-0.07319587', '-0.038606983', '-0.08088429', '0.37765905', '0.018963749', '0.05733625', '-0.23250116', '0.31664872', '-0.17110704', '-0.49655268', '-0.14697027', '-0.012868985', '-0.41069514', '0.3835833', '-0.18549839', '0.15074581', '0.2579741', '-0.1783773', '-0.115291186', '0.28633827', '-0.3710976', '-0.032398283', '-0.19259785', '-0.11639093', '-0.24720325', '0.36222556', '-0.23101553', '0.32730332', '0.01797028', '-0.15445508', '0.42015946', '0.10354967', '0.40585414', '-0.16927326', '-0.15984035', '-0.41933662', '-0.08544385', '-0.034688003', '-0.13885692', '-0.09081037', '0.2208286', '-0.04870597', '-0.13954702', '-0.08275751', '-0.10740784', '0.3843972', '-0.18929519', '-0.21168348', '0.31536174', '0.05527893', '0.0024320763', '0.18001531', '-0.08024026', '-0.17733674', '-0.12865935', '0.007675885', '-0.1426228', '0.03741235', '0.17880937', '0.651495', '0.8389878', '0.0763276', '0.078389145', '0.1334809', '-0.45285872', '0.1840686', '-0.08891484', '0.14770505', '-0.17676412', '-0.027912093', '-0.04587026', '0.061891064', '0.4333303', '0.2977108', '-0.35341656', '0.044040117', '0.08167868', '-0.10682183', '-0.14020085', '0.09606608', '0.072598815', '-0.33075398', '-0.1053563', '-0.1685525', '-0.08857145', '-0.03831435', '0.2805418', '-0.0119033065', '0.010098259', '0.18968385', '0.039999276', '-0.13352391', '-0.29538077', '0.29392007']"
