d1,d2,count
Lamivudine,Delavirdine,8
Lamivudine,Rifapentine,8
Lamivudine,Indinavir,7
Lamivudine,Darunavir,7
Lamivudine,Rifabutin,6
Hydrochlorothiazide,Etodolac,5
Hydrochlorothiazide,Felodipine,5
Ethinyl,Estradiol,5
Hydrochlorothiazide,Lercanidipine,5
Ceftriaxone,Nafcillin,5
Hydrochlorothiazide,Carvedilol,5
Lamivudine,Pitavastatin,5
Hydrochlorothiazide,Methyclothiazide,4
Metformin,Vildagliptin,4
Hydrochlorothiazide,Pravastatin,4
Hydrochlorothiazide,Nifedipine,4
Hydrochlorothiazide,Azelnidipine,4
Hydrochlorothiazide,Trichlormethiazide,4
Pseudoephedrine,Metoclopramide,4
Cyclophosphamide,Idarubicin,4
Lamivudine,Ribavirin,4
Lamivudine,Bedaquiline,4
Hydrochlorothiazide,Chlorthalidone,4
Lamivudine,Eucalyptol,4
Lamivudine,Boceprevir,4
Lamivudine,PA-824,4
Lamivudine,Cobicistat,3
Ceftriaxone,Ceftazidime,3
Pseudoephedrine,Methamphetamine,3
Hydrochlorothiazide,Alagebrium,3
Hydrochlorothiazide,Bendroflumethiazide,3
Hydrochlorothiazide,Nadolol,3
Hydrochlorothiazide,Atenolol,3
Hydrochlorothiazide,Ramipril,3
Ceftriaxone,Ampicillin,3
Lamivudine,Nitazoxanide,3
Pseudoephedrine,Cyclopentolate,3
Prednisone,Pimecrolimus,3
Hydrochlorothiazide,Indapamide,3
Metformin,Chlordiazepoxide,3
Epinephrine,Levonordefrin,3
Lamivudine,Beta-lapachone,3
Cyclophosphamide,Tretinoin,3
Hydrochlorothiazide,Diltiazem,3
Hydrochlorothiazide,Perindopril,3
Cyclophosphamide,Gefitinib,3
Hydrochlorothiazide,Latanoprost,3
Cyclophosphamide,Raloxifene,3
Lamivudine,Fusidic,3
Lamivudine,Rilpivirine,3
Hydrochlorothiazide,Betaxolol,3
Cyclophosphamide,Bleomycin,3
Cyclophosphamide,Mercaptopurine,3
Amoxicillin,Bismuth,3
Metformin,Insulin,3
Lamivudine,Telaprevir,3
Cyclophosphamide,Azacitidine,3
Hydrocortisone,Pipemidic,2
Darunavir,Saquinavir,2
Darunavir,Nevirapine,2
Artesunate,Piperaquine,2
Cyclophosphamide,Carfilzomib,2
Hydrochlorothiazide,Nateglinide,2
Cyclophosphamide,Cabazitaxel,2
Lamivudine,Elvitegravir,2
Hydrochlorothiazide,Nebivolol,2
Hydrochlorothiazide,Atorvastatin,2
Hydrochlorothiazide,Brinzolamide,2
Amoxicillin,Ceftaroline,2
Cisplatin,Mitomycin,2
Fluoxetine,Ziprasidone,2
