d1,d2,count
DCC0179,DCC0178,8
DCC0179,DCC1534,8
DCC0179,DCC1552,7
DCC0179,DCC0028,7
DCC0179,DCC0147,6
DCC0260,DCC0269,5
DCC0260,DCC0121,5
DCC0179,DCC1726,5
DCC0260,DCC1509,5
DCC0260,DCC1386,5
DCC0319,DCC1332,5
DCC0214,DCC1545,4
DCC0179,DCC0203,4
DCC0179,DCC0366,4
DCC0179,DCC0764,4
DCC0260,DCC1838,4
DCC0260,DCC1191,4
DCC0260,DCC1502,4
DCC0123,DCC1525,4
DCC0260,DCC0565,4
DCC0057,DCC0421,4
DCC0179,DCC0407,4
DCC0260,DCC0047,4
DCC0260,DCC1856,4
DCC0179,DCC1740,4
DCC0166,DCC0373,3
DCC0260,DCC0060,3
DCC0260,DCC0197,3
DCC0179,DCC1658,3
DCC0260,DCC0064,3
DCC0214,DCC0347,3
DCC0260,DCC0424,3
DCC0260,DCC0090,3
DCC0319,DCC0091,3
DCC0260,DCC0317,3
DCC0123,DCC0050,3
DCC0319,DCC0083,3
DCC0179,DCC1302,3
DCC0214,DCC0254,3
DCC0260,DCC0201,3
DCC0123,DCC0186,3
DCC0057,DCC0101,3
DCC0179,DCC0432,3
DCC0123,DCC1443,3
DCC0179,DCC1727,3
DCC0260,DCC1811,3
DCC0179,DCC0494,3
DCC0156,DCC1249,3
DCC0179,DCC0362,3
DCC0123,DCC0104,3
DCC0123,DCC1234,3
DCC0260,DCC0015,3
DCC0057,DCC1569,3
DCC0260,DCC0164,3
DCC0123,DCC0273,3
DCC0260,DCC0314,2
DCC0179,DCC0903,2
DCC0123,DCC0079,2
DCC0260,DCC1374,2
DCC0260,DCC1641,2
DCC0214,DCC0018,2
DCC0285,DCC1684,2
DCC0123,DCC0122,2
DCC0100,DCC1218,2
DCC0123,DCC1707,2
DCC0123,DCC1737,2
DCC0184,DCC0443,2
DCC1552,DCC0030,2
DCC1552,DCC0324,2
DCC0123,DCC0532,2
DCC0117,DCC0046,2
DCC0123,DCC0630,2
DCC0285,DCC0338,2
DCC0117,DCC1321,2
DCC1218,DCC1021,2
DCC0260,DCC0227,2
DCC0123,DCC1522,2
DCC0100,DCC1380,2
DCC0123,DCC0361,2
DCC0123,DCC0336,2
DCC0123,DCC0046,2
DCC0100,DCC1515,2
DCC0214,DCC0237,2
DCC0214,DCC0175,2
DCC0123,DCC1495,2
DCC1505,DCC0233,2
DCC0123,DCC1535,2
DCC0179,DCC0144,2
DCC1368,DCC0170,2
DCC0123,DCC0301,2
DCC1552,DCC0228,2
DCC1280,DCC0324,2
